Country,Population,biofuel_consumption,coal_consumption,fossil_fuel_consumption,gas_consumption,hydro_consumption,low_carbon_consumption,nuclear_consumption,oil_consumption,other_renewable_consumption,renewables_consumption,solar_consumption,wind_consumption,total_consumption,Energy Consumption Per Capita
Australia,25921094.0,1.239,452.447,1383.704,395.757,41.717,205.371,0.0,535.5,10.675,205.371,81.624,70.116,5404.521,0.00020849895455801363
Bangladesh,169356240.0,0.0,42.311,488.968,306.089,1.784,3.413,0.0,140.567,0.012,3.413,1.603,0.013,3009.1730000000002,1.7768303075221793e-05
Brazil,214326224.0,243.486,197.908,1930.015,404.465,949.379,1640.655,36.923,1327.642,177.883,1603.732,43.835,189.149,10766.071999999998,5.0232173175411324e-05
Canada,38155012.0,24.504,131.237,2464.905,1186.283,1000.694,1402.071,230.97,1147.385,32.493,1171.102,15.816,97.594,10926.054,0.00028635960067316976
China,1425893504.0,28.61,24315.475,36292.246,3802.679,3401.68,7554.755,1023.213,8174.094,529.582,6531.542,855.653,1716.017,96246.546,6.749911247228741e-05
Egypt,109262184.0,0.0,14.114,994.929,621.248,36.45,63.814,0.0,359.567,0.0,63.814,13.011,14.353,4202.3,3.8460699266271305e-05
France,64531448.0,34.84,75.042,1287.57,430.414,153.476,1306.055,952.558,782.114,29.48,353.496,38.938,96.762,7561.744999999999,0.0001171792239963374
Germany,83408560.0,34.888,621.935,2695.155,917.38,51.437,849.426,173.583,1155.841,160.416,675.842,129.107,299.994,9786.004,0.00011732613535109587
India,1407563904.0,19.677,5352.792,8565.35,623.727,419.553,1019.728,110.276,2588.831,113.308,909.452,178.734,178.181,22100.609000000004,1.5701318382202564e-05
Indonesia,273753184.0,84.981,763.23,1975.075,429.344,64.624,238.979,0.0,782.501,87.726,238.979,0.504,1.143,6688.086,2.4431080224440423e-05
Iran,87923432.0,0.0,20.834,3272.439,2295.314,36.181,49.619,8.88,956.291,0.071,40.738,1.528,2.959,8705.854,9.901631228407917e-05
Italy,59240336.0,13.822,65.182,1440.023,723.737,118.766,328.594,0.0,651.104,75.727,328.594,65.519,54.76,5886.828,9.937195494637303e-05
Japan,124612528.0,5.0,1369.467,4316.124,1035.061,208.356,721.357,153.727,1911.596,109.044,567.63,220.276,24.953,12663.590999999999,0.00010162373882664509
Malaysia,33573872.0,9.612,266.346,1148.04,513.517,79.03,98.61,0.0,368.176,3.939,98.61,6.029,0.0,4612.9090000000015,0.00013739579992441746
Mexico,126705136.0,2.539,55.126,1928.164,916.388,90.844,247.73,29.938,956.65,16.42,217.792,52.844,55.146,6590.580999999999,5.201510537031426e-05
Netherlands,17501696.0,9.304,65.111,883.818,348.417,0.231,130.797,9.612,470.29,34.851,121.185,29.579,47.221,4171.416,0.00023834352967849517
Nigeria,213401328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,9.470419040691256e-06
Pakistan,231402112.0,0.0,200.761,932.805,448.92,98.472,150.986,39.409,283.124,2.247,111.577,1.878,8.981,4300.16,1.8583062889244503e-05
Philippines,113880336.0,5.802,219.963,478.537,32.831,24.163,66.973,0.0,225.743,29.765,66.973,3.861,3.382,3178.9929999999995,2.7915205659386178e-05
Poland,38307724.0,12.134,529.151,1127.997,223.738,6.121,96.761,0.0,375.108,25.733,96.761,10.295,42.478,4567.277000000001,0.00011922600778892531
Russia,145102752.0,2.793,951.683,7197.647,4315.445,561.365,1137.71,558.415,1930.519,2.324,579.295,6.05,6.764,19271.01,0.00013280940391812828
Saudi Arabia,35950396.0,0.0,1.279,2979.729,1144.607,0.0,0.0,0.0,1833.843,0.0,0.0,2.173,0.015,7982.646,0.00022204612155037179
South Korea,51830136.0,6.944,843.54,2967.049,624.074,7.993,539.459,396.769,1499.434,54.755,142.691,64.678,8.321,9176.706999999999,0.0001770535003033756
Spain,47486932.0,22.3,35.731,1033.12,343.243,77.522,497.149,142.03,654.146,21.997,355.12,70.907,162.394,5436.659,0.00011448747625978448
Thailand,71601104.0,23.287,217.274,1286.554,470.137,11.88,100.256,0.0,599.142,42.793,100.256,13.055,9.242,4894.876000000001,6.836313585332429e-05
Turkey,84775408.0,1.287,482.322,1637.03,573.104,146.342,314.121,0.0,581.605,47.748,314.121,36.484,82.26,6237.424,7.35758653028246e-05
United Arab Emirates,9365149.0,0.0,30.154,1203.467,655.399,0.0,0.0,26.486,517.914,0.001,0.0,16.36,0.0,4470.781,0.0004773849300208678
United Kingdom,67281040.0,17.785,64.242,1515.129,769.267,14.126,475.829,115.263,681.619,127.855,360.567,31.598,169.203,6363.482999999999,9.45806277667527e-05
United States,336997632.0,415.839,2936.894,21170.129,8364.249,651.455,4786.699,2060.685,9868.985,224.519,2726.014,434.585,999.615,56660.668000000005,0.00016813372742037548
Vietnam,97468024.0,0.0,579.233,924.5,71.989,205.862,284.054,0.0,273.278,1.022,284.054,68.429,8.742,4722.1630000000005,4.8448330090286845e-05
